method,file_size
pyteomics,74812039
pyopenms,74812039
pyopenms_2DPeak,74812039
pymzml,74812039
mzMLb,17621893
mzDB,95846400
MZA,54892680
mz5,22619599
MZTree,83783800
mzMD,99250176
SQLite,197480448
DuckDB,42479616
Parquet,30484631
