query,target,method,time
ms1_spec,9044,pyteomics,11.612599799999998
ms1_spec,9044,pyopenms,4.011615200000051
ms1_spec,9044,pymzml,0.10820960000000923
ms1_spec,9044,mzMLb,13.709906900000078
ms1_spec,9044,mzDB,1.9248892999999043
ms1_spec,9044,MZA,0.011400900000126057
ms1_spec,9044,mz5,0.10362659999987045
ms1_spec,9044,SQLite,0.40978659999996125
ms1_spec,9044,DuckDB,0.035187800000130665
ms1_spec,9044,Parquet,0.11238479999997253
ms1_spec,187,pyteomics,0.9941691999999875
ms1_spec,187,pyopenms,3.8373796999999286
ms1_spec,187,pymzml,0.08217190000004848
ms1_spec,187,mzMLb,0.3289495999999872
ms1_spec,187,mzDB,2.5183430000001863
ms1_spec,187,MZA,0.0018307000000277185
ms1_spec,187,mz5,0.09547070000007807
ms1_spec,187,SQLite,0.39005280000014864
ms1_spec,187,DuckDB,0.021938600000112274
ms1_spec,187,Parquet,0.07612089999997806
ms1_spec,7532,pyteomics,10.367690699999912
ms1_spec,7532,pyopenms,3.7405767999998716
ms1_spec,7532,pymzml,0.08269700000005287
ms1_spec,7532,mzMLb,11.996160299999929
ms1_spec,7532,mzDB,2.776454199999989
ms1_spec,7532,MZA,0.0019376999998712563
ms1_spec,7532,mz5,0.09437370000000556
ms1_spec,7532,SQLite,0.39193539999996574
ms1_spec,7532,DuckDB,0.024101799999925788
ms1_spec,7532,Parquet,0.0857352999998966
ms1_spec,2396,pyteomics,3.8674654000001283
ms1_spec,2396,pyopenms,3.743065500000057
ms1_spec,2396,pymzml,0.08171349999997801
ms1_spec,2396,mzMLb,3.633150599999908
ms1_spec,2396,mzDB,0.9717338999998901
ms1_spec,2396,MZA,0.0019029000000045926
ms1_spec,2396,mz5,0.09472370000003139
ms1_spec,2396,SQLite,0.39309189999994487
ms1_spec,2396,DuckDB,0.022273699999914243
ms1_spec,2396,Parquet,0.08668709999983548
ms1_spec,10409,pyteomics,13.766094899999871
ms1_spec,10409,pyopenms,3.86755160000007
ms1_spec,10409,pymzml,0.0827403000000686
ms1_spec,10409,mzMLb,16.52860570000007
ms1_spec,10409,mzDB,2.3385876999998345
ms1_spec,10409,MZA,0.003205900000011752
ms1_spec,10409,mz5,0.09703689999992093
ms1_spec,10409,SQLite,0.4420159999999669
ms1_spec,10409,DuckDB,0.026672499999904176
ms1_spec,10409,Parquet,0.05447209999988445
ms1_spec,87,pyteomics,0.8917997000000923
ms1_spec,87,pyopenms,3.692820700000084
ms1_spec,87,pymzml,0.08547229999999217
ms1_spec,87,mzMLb,0.21928179999986241
ms1_spec,87,mzDB,2.7118992999999136
ms1_spec,87,MZA,0.002895200000011755
ms1_spec,87,mz5,0.10497809999992569
ms1_spec,87,SQLite,0.4406830999998874
ms1_spec,87,DuckDB,0.022864600000048085
ms1_spec,87,Parquet,0.07816270000012082
ms1_spec,5259,pyteomics,7.638968599999998
ms1_spec,5259,pyopenms,3.7774713999999676
ms1_spec,5259,pymzml,0.08259619999989809
ms1_spec,5259,mzMLb,8.225812800000085
ms1_spec,5259,mzDB,3.410129099999949
ms1_spec,5259,MZA,0.003761899999972229
ms1_spec,5259,mz5,0.1085558999998284
ms1_spec,5259,SQLite,0.4401697000000695
ms1_spec,5259,DuckDB,0.027602499999829888
ms1_spec,5259,Parquet,0.09172800000010284
ms1_spec,69,pyteomics,0.8754171999999016
ms1_spec,69,pyopenms,3.761336399999891
ms1_spec,69,pymzml,0.08473469999989902
ms1_spec,69,mzMLb,0.20339130000002115
ms1_spec,69,mzDB,2.5068654000001516
ms1_spec,69,MZA,0.003095499999972162
ms1_spec,69,mz5,0.10744679999993423
ms1_spec,69,SQLite,0.4409471000001304
ms1_spec,69,DuckDB,0.023273799999969924
ms1_spec,69,Parquet,0.08296040000004723
ms1_spec,5157,pyteomics,7.547904300000027
ms1_spec,5157,pyopenms,3.8390143999999964
ms1_spec,5157,pymzml,0.08241019999991295
ms1_spec,5157,mzMLb,8.421523900000011
ms1_spec,5157,mzDB,3.202390499999865
ms1_spec,5157,MZA,0.003193999999894004
ms1_spec,5157,mz5,0.10987299999987954
ms1_spec,5157,SQLite,0.44238289999998415
ms1_spec,5157,DuckDB,0.0273047000000588
ms1_spec,5157,Parquet,0.09201240000015787
ms1_spec,7988,pyteomics,10.932362700000112
ms1_spec,7988,pyopenms,3.829736500000081
ms1_spec,7988,pymzml,0.08296510000013768
ms1_spec,7988,mzMLb,12.889862700000094
ms1_spec,7988,mzDB,2.8176994000000377
ms1_spec,7988,MZA,0.0027253999999174994
ms1_spec,7988,mz5,0.10833120000006602
ms1_spec,7988,SQLite,0.4420021999999335
ms1_spec,7988,DuckDB,0.027877100000068822
ms1_spec,7988,Parquet,0.093634800000018
chrom,666.617919921875,pyteomics,15.854612699999961
chrom,666.617919921875,pyopenms,5.184398600000122
chrom,666.617919921875,pyopenms_2DPeak,3.7660949999999502
chrom,666.617919921875,pymzml,8.871965600000067
chrom,666.617919921875,mzMLb,14.16783149999992
chrom,666.617919921875,mzDB,2.1325107999998636
chrom,666.617919921875,MZA,14.617284800000107
chrom,666.617919921875,mz5,22.425262799999928
chrom,666.617919921875,MZTree,3.5658708999999362
chrom,666.617919921875,mzMD,0.9074855999999727
chrom,666.617919921875,SQLite,0.4966173999998773
chrom,666.617919921875,DuckDB,0.1923724000000675
chrom,666.617919921875,Parquet,0.1412764999997762
chrom,391.2838439941406,pyteomics,15.635982499999955
chrom,391.2838439941406,pyopenms,5.252999999999929
chrom,391.2838439941406,pyopenms_2DPeak,3.779845499999965
chrom,391.2838439941406,pymzml,8.909734600000093
chrom,391.2838439941406,mzMLb,14.193190800000139
chrom,391.2838439941406,mzDB,0.5258066999999755
chrom,391.2838439941406,MZA,9.941549000000123
chrom,391.2838439941406,mz5,20.236225200000035
chrom,391.2838439941406,MZTree,0.6287002999999913
chrom,391.2838439941406,mzMD,0.42344439999988026
chrom,391.2838439941406,SQLite,0.5007588000000851
chrom,391.2838439941406,DuckDB,0.07995039999991604
chrom,391.2838439941406,Parquet,0.09728719999998248
chrom,924.2693481445312,pyteomics,14.919477899999947
chrom,924.2693481445312,pyopenms,4.294404900000018
chrom,924.2693481445312,pyopenms_2DPeak,3.7825147000000925
chrom,924.2693481445312,pymzml,7.647032099999933
chrom,924.2693481445312,mzMLb,13.258540999999923
chrom,924.2693481445312,mzDB,1.2087461000000985
chrom,924.2693481445312,MZA,8.55535359999999
chrom,924.2693481445312,mz5,20.235159100000146
chrom,924.2693481445312,MZTree,1.0424662000000353
chrom,924.2693481445312,mzMD,0.3308171000001039
chrom,924.2693481445312,SQLite,0.46806919999994534
chrom,924.2693481445312,DuckDB,0.03544400000009773
chrom,924.2693481445312,Parquet,0.13728609999998298
chrom,758.5687255859375,pyteomics,16.42984720000004
chrom,758.5687255859375,pyopenms,5.972251000000142
chrom,758.5687255859375,pyopenms_2DPeak,3.727773099999922
chrom,758.5687255859375,pymzml,9.38080089999994
chrom,758.5687255859375,mzMLb,15.107587599999988
chrom,758.5687255859375,mzDB,1.3668572999999924
chrom,758.5687255859375,MZA,9.241242000000057
chrom,758.5687255859375,mz5,20.359013900000036
chrom,758.5687255859375,MZTree,1.0268630999999004
chrom,758.5687255859375,mzMD,0.368453000000045
chrom,758.5687255859375,SQLite,0.48592389999998886
chrom,758.5687255859375,DuckDB,0.06718569999998181
chrom,758.5687255859375,Parquet,0.13513259999990623
chrom,496.33837890625,pyteomics,15.469241999999895
chrom,496.33837890625,pyopenms,4.619570300000078
chrom,496.33837890625,pyopenms_2DPeak,3.819238900000073
chrom,496.33837890625,pymzml,7.941754400000036
chrom,496.33837890625,mzMLb,13.56401690000007
chrom,496.33837890625,mzDB,0.5219151999999667
chrom,496.33837890625,MZA,9.129600199999913
chrom,496.33837890625,mz5,20.27318409999998
chrom,496.33837890625,MZTree,0.14660190000017792
chrom,496.33837890625,mzMD,0.4118460999998206
chrom,496.33837890625,SQLite,0.4884827000000769
chrom,496.33837890625,DuckDB,0.04233190000013565
chrom,496.33837890625,Parquet,0.09255159999997886
chrom,700.6256103515625,pyteomics,16.529344300000048
chrom,700.6256103515625,pyopenms,5.760135499999933
chrom,700.6256103515625,pyopenms_2DPeak,3.776296000000002
chrom,700.6256103515625,pymzml,9.017146199999843
chrom,700.6256103515625,mzMLb,14.851756199999727
chrom,700.6256103515625,mzDB,1.3947126000002754
chrom,700.6256103515625,MZA,9.876872900000308
chrom,700.6256103515625,mz5,20.412303600000087
chrom,700.6256103515625,MZTree,0.24003410000022996
chrom,700.6256103515625,mzMD,0.33104750000029526
chrom,700.6256103515625,SQLite,0.4353280000000268
chrom,700.6256103515625,DuckDB,0.04481529999975464
chrom,700.6256103515625,Parquet,0.13005539999994653
chrom,1222.341064453125,pyteomics,15.267862600000171
chrom,1222.341064453125,pyopenms,4.555521400000089
chrom,1222.341064453125,pyopenms_2DPeak,3.9236347999999452
chrom,1222.341064453125,pymzml,8.11701290000019
chrom,1222.341064453125,mzMLb,13.494860499999959
chrom,1222.341064453125,mzDB,0.8682447999999567
chrom,1222.341064453125,MZA,8.722428100000343
chrom,1222.341064453125,mz5,20.13755170000013
chrom,1222.341064453125,MZTree,0.2178924999998344
chrom,1222.341064453125,mzMD,0.3233641000001626
chrom,1222.341064453125,SQLite,0.46443060000001424
chrom,1222.341064453125,DuckDB,0.03333250000014232
chrom,1222.341064453125,Parquet,0.09678970000004483
chrom,237.0791473388672,pyteomics,15.945324400000118
chrom,237.0791473388672,pyopenms,5.251461400000153
chrom,237.0791473388672,pyopenms_2DPeak,3.7292105000001357
chrom,237.0791473388672,pymzml,8.528030099999796
chrom,237.0791473388672,mzMLb,14.173769999999877
chrom,237.0791473388672,mzDB,0.5428207999998449
chrom,237.0791473388672,MZA,10.163987700000234
chrom,237.0791473388672,mz5,20.323683000000074
chrom,237.0791473388672,MZTree,0.6229607999998734
chrom,237.0791473388672,mzMD,0.44460209999988365
chrom,237.0791473388672,SQLite,0.5090969000002588
chrom,237.0791473388672,DuckDB,0.04236689999970622
chrom,237.0791473388672,Parquet,0.08878649999996924
chrom,219.1871795654297,pyteomics,15.18114420000029
chrom,219.1871795654297,pyopenms,4.690014799999972
chrom,219.1871795654297,pyopenms_2DPeak,3.924956299999849
chrom,219.1871795654297,pymzml,7.754434200000105
chrom,219.1871795654297,mzMLb,13.390889700000116
chrom,219.1871795654297,mzDB,0.5435993000000963
chrom,219.1871795654297,MZA,9.496876799999882
chrom,219.1871795654297,mz5,20.275965499999984
chrom,219.1871795654297,MZTree,0.44568299999991723
chrom,219.1871795654297,mzMD,0.4391051000002335
chrom,219.1871795654297,SQLite,0.4959382000001824
chrom,219.1871795654297,DuckDB,0.030111800000213407
chrom,219.1871795654297,Parquet,0.08970769999996264
chrom,980.2788696289062,pyteomics,15.195055499999853
chrom,980.2788696289062,pyopenms,4.696996300000137
chrom,980.2788696289062,pyopenms_2DPeak,3.89168299999983
chrom,980.2788696289062,pymzml,7.9083018000001175
chrom,980.2788696289062,mzMLb,13.676178400000026
chrom,980.2788696289062,mzDB,1.1301973999998154
chrom,980.2788696289062,MZA,9.360799900000075
chrom,980.2788696289062,mz5,20.300396300000102
chrom,980.2788696289062,MZTree,0.15494399999988673
chrom,980.2788696289062,mzMD,0.3270763000000443
chrom,980.2788696289062,SQLite,0.4657369999999901
chrom,980.2788696289062,DuckDB,0.03753820000019914
chrom,980.2788696289062,Parquet,0.14653569999973115
rtrange,12.086972,pyteomics,14.47876129999986
rtrange,12.086972,pyopenms,3.907350899999983
rtrange,12.086972,pyopenms_2DPeak,3.8727544000003036
rtrange,12.086972,pymzml,5.292468500000268
rtrange,12.086972,mzMLb,12.537730399999873
rtrange,12.086972,mzDB,1.4743407000000843
rtrange,12.086972,MZA,0.3030793999996604
rtrange,12.086972,mz5,2.4591834999996536
rtrange,12.086972,MZTree,0.6349553999998534
rtrange,12.086972,mzMD,0.6082031000000825
rtrange,12.086972,SQLite,0.5619098000001941
rtrange,12.086972,DuckDB,0.026710600000114937
rtrange,12.086972,Parquet,0.07742570000027627
