n_chroms,method,time
1,duckdb_loop,0.0504706
1,duckdb_loop,0.0519965
1,duckdb_loop,0.0504051
1,duckdb_loop,0.0488224
1,duckdb_loop,0.0471077
1,duckdb_loop,0.0488373
1,duckdb_loop,0.0490682
1,duckdb_loop,0.0469891
1,duckdb_loop,0.0467701
1,duckdb_loop,0.0467761
1,duckdb_join,0.0705898
1,duckdb_join,0.0669874
1,duckdb_join,0.0665869
1,duckdb_join,0.0664367
1,duckdb_join,0.065858
1,duckdb_join,0.0641987
1,duckdb_join,0.0678958
1,duckdb_join,0.0677319
1,duckdb_join,0.0667845
1,duckdb_join,0.0666307
1,duckdb_unified,0.0565361
1,duckdb_unified,0.0541788
1,duckdb_unified,0.0546432
1,duckdb_unified,0.0551187
1,duckdb_unified,0.0539741
1,duckdb_unified,0.0498496
1,duckdb_unified,0.05296
1,duckdb_unified,0.0491904
1,duckdb_unified,0.053589
1,duckdb_unified,0.0553767
1,sqlite_loop,0.3477281
1,sqlite_loop,0.352411
1,sqlite_loop,0.3491388
1,sqlite_loop,0.3453705
1,sqlite_loop,0.3452621
1,sqlite_loop,0.3431866
1,sqlite_loop,0.3423535
1,sqlite_loop,0.3433129
1,sqlite_loop,0.3425186
1,sqlite_loop,0.3428232
1,sqlite_join,0.5907498
1,sqlite_join,0.5890252
1,sqlite_join,0.5848994
1,sqlite_join,0.5872551
1,sqlite_join,0.5867225
1,sqlite_join,0.5875735
1,sqlite_join,0.5876494
1,sqlite_join,0.588845
1,sqlite_join,0.5855074
1,sqlite_join,0.5888638
1,sqlite_unified,0.3849371
1,sqlite_unified,0.3839511
1,sqlite_unified,0.3833982
1,sqlite_unified,0.3835997
1,sqlite_unified,0.3842799
1,sqlite_unified,0.3552657
1,sqlite_unified,0.3451609
1,sqlite_unified,0.3482535
1,sqlite_unified,0.3466834
1,sqlite_unified,0.3470878
1,parquet_loop,0.1399092
1,parquet_loop,0.1397639
1,parquet_loop,0.140517
1,parquet_loop,0.1439787
1,parquet_loop,0.1407052
1,parquet_loop,0.1460002
1,parquet_loop,0.1320671
1,parquet_loop,0.1350371
1,parquet_loop,0.143804
1,parquet_loop,0.1508867
1,parquet_unified,0.1315957
1,parquet_unified,0.1341212
1,parquet_unified,0.1464494
1,parquet_unified,0.1352832
1,parquet_unified,0.1318
1,parquet_unified,0.1444183
1,parquet_unified,0.1448349
1,parquet_unified,0.1339897
1,parquet_unified,0.1422414
1,parquet_unified,0.1347165
3,duckdb_loop,0.0565577
3,duckdb_loop,0.0544707
3,duckdb_loop,0.0544677
3,duckdb_loop,0.054507
3,duckdb_loop,0.0564824
3,duckdb_loop,0.0538704
3,duckdb_loop,0.0593113
3,duckdb_loop,0.0597057
3,duckdb_loop,0.0574724
3,duckdb_loop,0.0546427
3,duckdb_join,0.0634426
3,duckdb_join,0.0648584
3,duckdb_join,0.0635608
3,duckdb_join,0.0614284
3,duckdb_join,0.0601777
3,duckdb_join,0.0620068
3,duckdb_join,0.0621248
3,duckdb_join,0.0636909
3,duckdb_join,0.0611881
3,duckdb_join,0.060207
3,duckdb_unified,0.0617438
3,duckdb_unified,0.061585
3,duckdb_unified,0.0619773
3,duckdb_unified,0.0603277
3,duckdb_unified,0.0605685
3,duckdb_unified,0.0604482
3,duckdb_unified,0.0609195
3,duckdb_unified,0.0607256
3,duckdb_unified,0.0622991
3,duckdb_unified,0.0610707
3,sqlite_loop,1.0707139
3,sqlite_loop,1.0260122
3,sqlite_loop,1.0246661
3,sqlite_loop,1.0258448
3,sqlite_loop,1.0256601
3,sqlite_loop,1.0224334
3,sqlite_loop,1.0232238
3,sqlite_loop,1.023026
3,sqlite_loop,1.016446
