method,file_size,filename
pyopenms,88119120,E:/mzsql/MTBLS10066/20221001_LEAP-POS_QC20/20221001_LEAP-POS_QC20
pyopenms_2DPeak,88119120,E:/mzsql/MTBLS10066/20221001_LEAP-POS_QC20/20221001_LEAP-POS_QC20
pymzml,88119120,E:/mzsql/MTBLS10066/20221001_LEAP-POS_QC20/20221001_LEAP-POS_QC20
mzMLb,22555099,E:/mzsql/MTBLS10066/20221001_LEAP-POS_QC20/20221001_LEAP-POS_QC20
mzDB,108998656,E:/mzsql/MTBLS10066/20221001_LEAP-POS_QC20/20221001_LEAP-POS_QC20
MZA,69917758,E:/mzsql/MTBLS10066/20221001_LEAP-POS_QC20/20221001_LEAP-POS_QC20
mz5,28457254,E:/mzsql/MTBLS10066/20221001_LEAP-POS_QC20/20221001_LEAP-POS_QC20
MZTree,107281952,E:/mzsql/MTBLS10066/20221001_LEAP-POS_QC20/20221001_LEAP-POS_QC20
mzMD,128966656,E:/mzsql/MTBLS10066/20221001_LEAP-POS_QC20/20221001_LEAP-POS_QC20
SQLite,258240512,E:/mzsql/MTBLS10066/20221001_LEAP-POS_QC20/20221001_LEAP-POS_QC20
DuckDB,55062528,E:/mzsql/MTBLS10066/20221001_LEAP-POS_QC20/20221001_LEAP-POS_QC20
Parquet,40764225,E:/mzsql/MTBLS10066/20221001_LEAP-POS_QC20/20221001_LEAP-POS_QC20
