rep1,rep2,rep3,method,type
3.887527400000181,3.713938099999723,3.789044199998898,spec,init
4.390059800000017,4.342608899998595,4.334355699998923,chrom,init
3.6603242000001046,3.6760619999986375,3.6862046999995073,chrom_2D,init
3.8405306999993627,3.8415976999986015,3.8448993999991217,rtrange,init
3.7004863000001933,3.620939999998882,3.5916250000009313,rtrange_2D,init
3.690696300000127,3.6603726000012102,3.707914399999936,premz,init
4.070604299999104,4.077199600000313,4.106344400001035,fragmz,init
0.12645429999975022,0.10269410000000789,0.09961399999883724,spec,precomp
0.653135000000475,0.6537312000000384,0.6537931999991997,chrom,precomp
0.0022531000013259472,0.0012858999998570653,0.0012679000010393793,chrom_2D,precomp
0.21132960000068124,0.21037539999997534,0.20947879999948782,rtrange,precomp
0.0022825000014563557,0.0020748000006278744,0.002028200000495417,rtrange_2D,precomp
0.05654749999848718,0.056031199999779346,0.0561121999999159,premz,precomp
0.41608610000002955,0.4133772000004683,0.41397829999914393,fragmz,precomp
