id,pyteomics,pyopenms,pymzml,mzMLb,MZA,mz5,fun_type
3,0.7900930000469089,4.043497300008312,0.09389530005864799,0.12821900006383657,0.002089899964630604,0.0024973999243229628,inclusive
3,0.7497418001294136,3.854657100047916,0.07721780007705092,0.12360260006971657,0.0014266001526266336,0.0022563000675290823,inclusive
3,0.6872056999709457,3.8345459999982268,0.07853189995512366,0.1234223002102226,0.0013824000488966703,0.0023304999340325594,inclusive
5,0.7094449000433087,3.8158988000359386,0.08173999981954694,0.12902739993296564,0.0018743001855909824,0.002756300149485469,inclusive
5,0.7023591999895871,3.853851499967277,0.0804651000071317,0.12381500005722046,0.001503900159150362,0.0024566000793129206,inclusive
5,0.696617899928242,3.862176800146699,0.0790426000021398,0.12432659999467432,0.001698100008070469,0.0023912000469863415,inclusive
7,0.7138680999632925,3.8979338998906314,0.08264839998446405,0.1317050999496132,0.002018899889662862,0.0026716000866144896,inclusive
7,0.7065421000588685,3.8740475000813603,0.08114959998056293,0.12818250013515353,0.0014047001022845507,0.00243859994225204,inclusive
7,0.7105762998107821,4.00228500016965,0.08097520004957914,0.1274350001476705,0.0013949000276625156,0.002398800104856491,inclusive
9,0.762962399981916,3.973193900194019,0.09428289998322725,0.12774630007334054,0.0019394999835640192,0.00246420013718307,inclusive
9,0.7501469999551773,3.9251426002010703,0.07842399994842708,0.12287610000930727,0.0014921000692993402,0.002341599902138114,inclusive
9,0.745591500075534,3.896092699840665,0.07728940015658736,0.1238799998536706,0.0014384998939931393,0.0022970999125391245,inclusive
11,0.7116986999753863,3.890489899786189,0.08570079994387925,0.12592649995349348,0.0019515999592840672,0.0024608999956399202,inclusive
11,0.7059676998760551,3.9752042000181973,0.07829670002683997,0.12366009992547333,0.0014142000582069159,0.0022847000509500504,inclusive
11,0.7087600999511778,3.973774000070989,0.07808460015803576,0.12407530006021261,0.0014031999744474888,0.002295499900355935,inclusive
3,0.004848800133913755,0.0005932999774813652,0.0011012000031769276,0.0794176000636071,0.0010903999209403992,0.0020129999611526728,minimal
3,0.0022754999808967113,0.00039980001747608185,0.0009101999457925558,0.002511899918317795,0.0007168001029640436,0.0017619999125599861,minimal
3,0.002190799918025732,0.00037809996865689754,0.0008898000232875347,0.0024542000610381365,0.0007031999994069338,0.0016966001130640507,minimal
5,0.004809000063687563,0.0004991998430341482,0.0012483000755310059,0.08747030002996325,0.001005799975246191,0.0018142999615520239,minimal
5,0.002242299960926175,0.00031839986331760883,0.0009078001603484154,0.0025279000401496887,0.0007305999752134085,0.0018280998338013887,minimal
5,0.002280100015923381,0.00031489995308220387,0.0009059000294655561,0.0025557000190019608,0.0007206997834146023,0.0017313000280410051,minimal
7,0.004370299866423011,0.0006053000688552856,0.0011595000978559256,0.08277300000190735,0.0009670997969806194,0.0018058998975902796,minimal
7,0.002310300013050437,0.00042779999785125256,0.000938700046390295,0.002707500010728836,0.000735800014808774,0.001730599906295538,minimal
7,0.0021588001400232315,0.00044219987466931343,0.0009367999155074358,0.0025567999109625816,0.0007305999752134085,0.0017504999414086342,minimal
9,0.004747000057250261,0.0005703999195247889,0.0012528998777270317,0.08948959992267191,0.0010297999251633883,0.0018517998978495598,minimal
9,0.0022609999869018793,0.000296599930152297,0.0009714998304843903,0.0025420000310987234,0.0007398000452667475,0.0017691999673843384,minimal
9,0.00225210003554821,0.00029170000925660133,0.0009196000173687935,0.0025973001029342413,0.0007373001426458359,0.0017462000250816345,minimal
11,0.00444629997946322,0.0005904999561607838,0.001143299974501133,0.0808389000594616,0.0009235998149961233,0.001747300149872899,minimal
11,0.002402199897915125,0.0003162000793963671,0.0009469999931752682,0.0025158999487757683,0.0007180999964475632,0.0016753999516367912,minimal
11,0.002283700043335557,0.000304599991068244,0.0009152998682111502,0.002460000105202198,0.0007170001044869423,0.0016781999729573727,minimal
